"행정구역별(시군구)","성별","연령별","시점",일반가구원,가구주,가구주의 배우자,자녀,자녀의 배우자,가구주의 부모,배우자의 부모,손자녀 그 배우자,친손자녀·그 배우자,외손자녀·그 배우자,증손자녀·그 배우자,조부모,형제자매·그 배우자,형제자매의 자녀·그 배우자,부모의 형제자매·그 배우자,기타 친·인척,기타 동거인
"전국","계","85세이상","2021",710634,416126,44528,X,X,182449,34696,X,-,-,X,19187,772,X,457,1041,11372
"전국","계","85세이상","2022",777432,466035,51131,X,X,189597,36089,X,-,-,X,20172,863,X,540,1045,11956
"전국","계","85세이상","2023",835450,515875,57191,X,X,191591,36097,X,-,-,X,19217,1096,X,611,1114,12649
"전국","계","85세이상","2024",896879,568606,64468,X,X,194120,35698,X,-,-,X,18226,1227,9,645,1069,12806
"전국","계","15~64세","2015",35041993,15391319,9042565,8582048,232090,346875,58090,-,176145,50815,202,119,724878,107862,16515,39029,273441
"전국","계","15~64세","2016",35189450,15500212,9055892,8592245,229477,338962,57980,-,172444,53307,193,107,704410,110775,16391,38057,318998
"전국","계","15~64세","2017",35111208,15608694,8988421,8456920,213336,334358,55281,-,165949,55372,192,110,701287,113814,16785,40030,360659
"전국","계","15~64세","2018",35059474,15741432,8927421,8318027,195281,343129,49530,-,156558,56822,161,113,700023,116538,17560,39928,396951
"전국","계","15~64세","2019",34912764,15884969,8840937,8123063,180024,340405,44987,-,148555,57901,179,128,690722,116836,17481,41734,424843
"전국","계","15~64세","2020",35010230,16194238,8742361,8051049,149359,337756,36908,195058,-,-,150,124,673142,116687,17171,41033,455194
"전국","계","15~64세","2021",34794325,16432750,8587990,7731328,130334,348686,32256,182731,-,-,144,108,667345,121200,18280,42898,498275
"전국","계","15~64세","2022",34381052,16441809,8414804,7483919,124279,338856,27900,175275,-,-,144,103,657953,122772,18262,42545,532431
"전국","계","15~64세","2023",34154928,16417738,8227905,7476385,122817,325277,25567,174413,-,-,153,81,650036,122271,17967,41696,552622
"전국","계","15~64세","2024",33793352,16300808,8061432,7417271,116279,301704,20246,172960,-,-,164,53,637088,120690,17005,40708,586944
"전국","계","65세이상","2015",6408951,3719624,1397485,7757,1954,934129,186081,-,X,X,X,41745,28141,231,5587,7984,78233
"전국","계","65세이상","2016",6608822,3867406,1448100,8187,1784,931697,186382,-,X,X,X,40209,30410,232,5810,7689,80916
"전국","계","65세이상","2017",6889816,4065109,1546138,8932,1915,911819,181539,-,X,X,X,40254,33962,257,6267,8446,85178
"전국","계","65세이상","2018",7139506,4237675,1627788,9616,2031,902397,177551,-,X,X,X,40631,36801,289,6766,8398,89562
"전국","계","65세이상","2019",7464765,4458123,1730104,10993,2221,888632,172918,-,X,X,X,39913,40707,338,7428,8772,104616
"전국","계","65세이상","2020",7858775,4732364,1863309,12028,2384,878040,161105,X,-,-,X,41183,43596,329,8075,8402,107960
"전국","계","65세이상","2021",8277493,5015574,1983177,13521,2557,876512,156881,X,-,-,X,44012,48225,375,9227,8796,118636
"전국","계","65세이상","2022",8742173,5331539,2113777,16003,2852,878814,154381,X,-,-,X,43348,54529,441,10516,9235,126738
"전국","계","65세이상","2023",9188923,5655260,2225454,18290,3207,876693,151413,X,-,-,X,39358,63276,514,11795,9838,133823
"전국","계","65세이상","2024",9666500,5993409,2368701,20644,3549,866144,144149,X,-,-,X,35636,70214,610,12668,10110,140666
"전국","남자","합계","2015",23804846,13460593,871684,8021721,47789,296743,59694,-,236251,85357,1772,4612,414572,81152,10885,26231,185790
"전국","남자","합계","2016",23918710,13565064,926001,7972812,50946,296499,59772,-,221979,86135,1662,4487,406375,80079,11054,25622,210223
"전국","남자","합계","2017",23973333,13658562,1009452,7833519,50237,297943,58995,-,209244,87130,1646,4764,405859,80894,11415,27757,235916
"전국","남자","합계","2018",24010719,13741756,1088719,7699950,48214,304535,56366,-,193456,86142,1444,5018,405507,81817,12049,27818,257928
"전국","남자","합계","2019",24029501,13866960,1152844,7528479,45796,304586,54064,-,180851,85682,1357,5056,400378,81844,12297,28945,280362
"전국","남자","합계","2020",24202134,14081262,1244364,7428224,38758,305406,48890,240865,-,-,1106,5389,390206,80500,12341,28478,296345
"전국","남자","합계","2021",24270009,14248638,1357493,7198174,36219,318027,46731,221585,-,-,1041,6035,387896,82392,13354,29590,322834
"전국","남자","합계","2022",24158441,14346208,1410774,6931630,36606,318535,44631,210787,-,-,985,5925,384108,82509,13761,30034,341948
"전국","남자","합계","2023",24160916,14448922,1425834,6806398,38227,316293,43444,207951,-,-,981,5333,383833,81801,14344,30112,357443
"전국","남자","합계","2024",24114897,14505278,1458005,6676788,38148,308169,40709,202189,-,-,1005,4891,380314,79831,14369,29777,375424
"전국","남자","15세미만","2015",3556446,41,X,3325017,X,X,X,-,138778,60583,1660,X,2990,23357,X,2964,1053
"전국","남자","15세미만","2016",3481573,40,X,3263047,X,X,X,-,126197,60185,1568,X,2746,20446,X,2883,4460
"전국","남자","15세미만","2017",3405509,34,X,3197254,X,X,X,-,116750,60241,1539,X,2598,19583,X,3589,3921
"전국","남자","15세미만","2018",3326313,43,X,3130936,X,X,X,-,105844,58332,1361,X,2490,18586,X,3473,5248
"전국","남자","15세미만","2019",3236713,44,X,3052257,X,X,X,-,96758,57088,1265,X,2458,17941,X,3513,5389
"전국","남자","15세미만","2020",3164157,51,X,3001883,X,X,X,134083,-,-,1017,X,2504,16233,X,3160,5226
"전국","남자","15세미만","2021",3076190,58,X,2929000,X,11,X,120321,-,-,954,X,2533,15269,X,3036,5003
"전국","남자","15세미만","2022",2956777,80,X,2815834,X,X,X,114446,-,-,904,X,2332,15025,X,3243,4913
